time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/14:04:01.856315,$GPGGA,42.34081833333333,-71.09752833333333,6.7,327214.0763680293,4689748.753160971,19,T
2022/02/08/14:04:02.855709,$GPGGA,42.340826666666665,-71.09751833333333,6.7,327214.92298943084,4689749.658193361,19,T
2022/02/08/14:04:03.861243,$GPGGA,42.340835,-71.09750833333332,6.6,327215.76961061766,4689750.563225847,19,T
2022/02/08/14:04:04.830942,$GPGGA,42.34084500000001,-71.09749666666667,6.5,327216.7580959544,4689751.649942341,19,T
2022/02/08/14:04:05.830264,$GPGGA,42.34085333333334,-71.09748666666665,6.4,327217.60471667256,4689752.554975037,19,T
2022/02/08/14:04:06.825682,$GPGGA,42.34086166666666,-71.097475,6.4,327218.5886361408,4689753.456620947,19,T
2022/02/08/14:04:07.825145,$GPGGA,42.340869999999995,-71.097465,6.3,327219.43525641126,4689754.361653855,19,T
2022/02/08/14:04:08.830773,$GPGGA,42.34087833333333,-71.09745333333333,6.3,327220.4191753976,4689755.26330001,19,T
2022/02/08/14:04:09.830571,$GPGGA,42.34088666666666,-71.09744333333333,6.3,327221.2657952183,4689756.168333126,19,T
2022/02/08/14:04:10.826423,$GPGGA,42.34089666666667,-71.09743166666667,6.3,327222.25427894294,4689757.255050358,19,T
2022/02/08/14:04:11.827323,$GPGGA,42.34090500000001,-71.09742,6.3,327223.23819716927,4689758.156696892,19,T
2022/02/08/14:04:12.824532,$GPGGA,42.34091333333334,-71.09740833333333,6.3,327224.22211514425,4689759.058343556,19,T
2022/02/08/14:04:13.825921,$GPGGA,42.34092166666666,-71.09739666666665,6.4,327225.20603286807,4689759.9599903505,19,T
2022/02/08/14:04:14.825780,$GPGGA,42.34092833333334,-71.097385,6.5,327226.1853852148,4689760.676566451,19,T
2022/02/08/14:04:15.825341,$GPGGA,42.340938333333334,-71.097375,6.6,327227.03656876093,4689761.766671059,19,T
2022/02/08/14:04:16.830308,$GPGGA,42.34094666666667,-71.09736333333333,6.7,327228.02048574947,4689762.6683182325,19,T
