time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/15:01:47.492436,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:48.493579,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:49.493252,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:50.492148,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:51.491746,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:52.492999,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:53.492952,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:54.493410,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:55.493351,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:56.499151,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:57.493111,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:58.492483,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:01:59.495472,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:00.512561,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:01.502359,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:02.492868,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:03.497790,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:04.499978,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:05.499210,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:06.504011,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:07.499475,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:08.493036,$GPGGA,42.340635000000006,-71.09753833333333,6.8,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:09.499678,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:10.498858,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:11.498366,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
2022/02/08/15:02:12.499933,$GPGGA,42.340635000000006,-71.09753833333333,6.7,327212.7503752479,4689728.415691981,19,T
